method,feature,fclass,ccc,ccc_precision,ccc_accuracy,ccc_loc_shift,ccc_scale_shift,icc
zero_filled,original_firstorder_10Percentile,firstorder,0.8600911125735906,0.9402261635171647,0.9147704519901813,-0.38122513988739287,0.816963818323732,0.8612961424239034
zero_filled,original_firstorder_90Percentile,firstorder,0.9859088115455446,0.9864789512181266,0.9994220457802185,0.02825995773354583,0.9812585184099489,0.98604775739329
zero_filled,original_firstorder_Energy,firstorder,0.8258304331013051,0.9048632121177781,0.9126577609100701,0.40775200782386123,0.8535158543814537,0.8272712879205543
zero_filled,original_firstorder_Entropy,firstorder,0.5959256802461876,0.7167242968079589,0.8314573440585643,0.6367219435702366,1.0004539250138031,0.5983434324004538
zero_filled,original_firstorder_InterquartileRange,firstorder,0.7776853216858176,0.8443230932949845,0.9210755075416548,0.4136107845146913,0.9828072817096638,0.7794180824886255
zero_filled,original_firstorder_Kurtosis,firstorder,0.7181542262484453,0.774950139737275,0.9267102351796661,0.3392188861308778,1.2302781196767743,0.7201840345129551
zero_filled,original_firstorder_Mean,firstorder,0.9858013327210143,0.9942615031176469,0.9914910007376283,-0.10649328538449622,0.926546012530463,0.985941323249069
zero_filled,original_firstorder_MeanAbsoluteDeviation,firstorder,0.8146691477291272,0.9015374876847054,0.9036442287290013,0.461781256355944,1.0043087312356622,0.8161817843862106
zero_filled,original_firstorder_Median,firstorder,0.974073883521951,0.9819604343235763,0.9919685656102245,-0.09820925844805453,0.9222888627040987,0.9743264885422473
zero_filled,original_firstorder_Range,firstorder,0.3777749276384774,0.6964651455129587,0.5424175639977499,1.22781024850711,1.5231395825616687,0.3801402556190799
zero_filled,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,0.816524311323314,0.882126504170265,0.925631763089743,0.4008569772941869,1.0003534720282552,0.81802518867178
zero_filled,original_firstorder_RootMeanSquared,firstorder,0.9889288974214219,0.9960425018748359,0.9928581316158456,0.089609349228499,0.9233864106434521,0.9890383948766606
zero_filled,original_firstorder_Skewness,firstorder,0.851147112070161,0.8841020441073288,0.9627249679414074,0.25025126591816654,0.8854806093644488,0.8524159578405823
zero_filled,original_firstorder_Uniformity,firstorder,0.45334750644050203,0.5129313509529398,0.8838366101004723,-0.5080249762982049,0.9332630658426105,0.45583936368873573
zero_filled,original_firstorder_Variance,firstorder,0.7996254968250008,0.9030794632604072,0.885443119189197,0.49729203330809957,1.1129174013774872,0.8012309593791427
zero_filled,original_glcm_Autocorrelation,glcm,0.86881189679266,0.8780073883112716,0.989526863166496,-0.13488566255865989,1.0560399852077385,0.8699531718576129
zero_filled,original_glcm_ClusterProminence,glcm,0.7087406349425003,0.8017516462631407,0.8839902459144893,0.383203709487045,1.4027254291859066,0.7108109383683533
zero_filled,original_glcm_ClusterShade,glcm,0.813338478914708,0.8448325285340249,0.9627215471047662,0.26924978050987214,1.07286294460036,0.8148595080671761
zero_filled,original_glcm_Contrast,glcm,0.16653860771181841,0.9753716390325563,0.1707437463293513,2.4033766797829075,5.763741883028607,0.16793830867750972
zero_filled,original_glcm_Correlation,glcm,0.20890206801000316,0.9676987221245354,0.21587510992198977,-2.1666233142376794,4.339941578052562,0.2105678660437115
zero_filled,original_glcm_Dissimilarity,glcm,0.2850573847567686,0.9818950878755162,0.290313484889241,2.007571489888874,2.4507177034213417,0.2871100569062409
zero_filled,original_glcm_Energy,glcm,0.3862784643067125,0.8607879163917698,0.4487498685226732,-1.5518554302191132,0.8025640126508083,0.3886637776113527
zero_filled,original_glcm_Homogeneity,glcm,0.37367613263750593,0.9736888684271902,0.38377365168106414,-1.7869098548427702,1.1449827795197365,0.37603130645861127
zero_filled,original_glcm_JointEntropy,glcm,0.33019969752147077,0.9447523221961089,0.3495092732388425,1.90623124869093,1.3452164776088378,0.33242628981617856
zero_filled,original_glcm_MaximumProbability,glcm,0.4678116129880194,0.7889811571891248,0.592931287047051,-1.1644814319086914,1.1394009566161902,0.47031457252542563
unet,original_firstorder_10Percentile,firstorder,0.8987827404250471,0.9314836715797769,0.9648937150994071,-0.26973627487068225,0.9969231428524992,0.8996933854143416
unet,original_firstorder_90Percentile,firstorder,0.9862896099171864,0.9905210840917185,0.9957280322019472,-0.0012258886230790858,0.9115668988650002,0.9864248526123527
unet,original_firstorder_Energy,firstorder,0.9415503655331685,0.9479163909259599,0.9932841910386494,0.050548269896276796,0.9006152830685641,0.942101020135747
unet,original_firstorder_Entropy,firstorder,0.5834239232328413,0.737199109608363,0.791406169145789,0.672059030426923,0.7604182489929874,0.5858644945594494
unet,original_firstorder_InterquartileRange,firstorder,0.8591070845300903,0.8976062101724207,0.9571091139900477,0.18739910578432192,0.7922000276254814,0.8603192133521308
